user_id,item_id,rating
241,1136,5.0
165,327,5.0
18,3,4.0
301,321,2.0
92,819,3.0
35,747,4.0
139,331,3.0
142,681,3.0
201,282,3.0
60,322,3.0
18,434,5.0
33,311,4.0
87,749,2.0
35,306,4.0
146,291,5.0
139,267,4.0
35,882,5.0
301,322,2.0
92,411,2.0
92,14,5.0
60,327,5.0
146,257,4.0
301,244,2.0
33,689,4.0
139,300,3.0
146,338,5.0
165,321,5.0
142,330,5.0
60,689,2.0
92,221,4.0
201,514,1.0
139,318,4.0
201,171,3.0
299,947,4.0
299,242,4.0
33,309,4.0
33,258,2.0
308,332,3.0
139,321,3.0
301,327,3.0
35,318,2.0
92,844,4.0
340,875,4.0
230,125,5.0
18,152,4.0
18,312,2.0
241,304,5.0
308,325,5.0
299,321,4.0
340,293,3.0
139,288,4.0
54,55,4.0
92,274,4.0
340,876,3.0
87,301,3.0
54,1088,1.0
299,327,3.0
146,268,4.0
54,1015,1.0
142,327,4.0
340,879,5.0
92,475,4.0
87,320,1.0
60,341,2.0
54,677,3.0
165,257,4.0
87,880,5.0
165,342,4.0
35,881,5.0
301,306,4.0
308,323,3.0
60,1126,4.0
230,251,4.0
146,339,4.0
35,884,5.0
87,300,4.0
301,878,2.0
340,947,3.0
363,1047,5.0
301,269,2.0
18,309,4.0
146,750,2.0
308,937,4.0
363,320,2.0
230,845,4.0
87,260,5.0
230,150,1.0
165,299,5.0
35,268,3.0
60,330,2.0
54,684,1.0
60,242,2.0
146,689,4.0
87,689,4.0
308,302,2.0
230,120,4.0
230,747,4.0
363,288,3.0
146,344,4.0
54,404,1.0
18,691,3.0
308,1392,2.0
230,404,4.0
340,291,5.0
18,381,3.0
241,360,5.0
165,893,4.0
33,244,4.0
18,200,3.0
165,322,5.0
299,871,5.0
35,267,2.0
241,290,3.0
299,256,4.0
301,257,3.0
201,483,4.0
363,287,4.0
301,298,2.0
417,361,1.0
308,305,2.0
87,903,5.0
35,309,4.0
33,331,5.0
417,300,2.0
92,234,4.0
201,172,2.0
241,1356,5.0
417,303,4.0
165,747,2.0
201,285,1.0
299,99,3.0
340,287,4.0
201,603,5.0
139,879,4.0
230,475,3.0
18,257,4.0
33,328,5.0
241,305,5.0
230,923,5.0
92,814,4.0
340,886,5.0
139,871,3.0
60,346,5.0
92,124,1.0
87,885,5.0
33,285,5.0
54,256,3.0
54,272,5.0
363,268,4.0
230,288,4.0
54,596,2.0
308,330,5.0
308,1024,5.0
165,750,4.0
299,455,4.0
417,343,1.0
201,257,4.0
87,307,4.0
201,422,3.0
417,330,3.0
363,987,2.0
417,301,2.0
440,24,3.0
139,293,3.0
340,357,1.0
142,271,4.0
54,116,3.0
54,180,4.0
60,303,4.0
417,314,2.0
241,0,4.0
33,1023,5.0
241,474,3.0
18,318,4.0
60,257,4.0
363,293,5.0
417,257,5.0
142,312,5.0
165,293,3.0
92,865,2.0
87,310,5.0
60,326,2.0
33,323,5.0
511,264,4.0
474,99,5.0
201,203,3.0
474,346,4.0
440,8,4.0
18,287,3.0
18,886,4.0
142,322,3.0
60,747,2.0
201,480,1.0
417,898,5.0
511,0,4.0
340,258,3.0
35,357,5.0
33,293,1.0
87,299,3.0
511,197,5.0
511,317,5.0
440,14,3.0
35,288,2.0
241,330,5.0
308,333,4.0
54,117,5.0
35,874,3.0
511,1458,4.0
146,936,3.0
363,261,3.0
87,1190,5.0
201,241,3.0
511,312,3.0
241,110,4.0
146,269,3.0
33,291,5.0
557,115,5.0
440,287,2.0
201,0,3.0
139,301,4.0
165,285,1.0
440,750,4.0
557,935,5.0
571,299,4.0
92,282,4.0
301,679,2.0
87,312,3.0
35,287,4.0
363,318,3.0
595,677,3.0
18,210,4.0
557,123,4.0
308,303,3.0
308,1295,2.0
557,507,5.0
363,260,2.0
35,872,3.0
570,495,3.0
511,190,4.0
230,0,3.0
511,526,5.0
474,312,2.0
557,846,4.0
201,317,1.0
557,13,4.0
18,209,3.0
474,258,5.0
18,267,2.0
440,682,2.0
440,0,5.0
440,404,3.0
595,257,3.0
474,380,4.0
511,301,4.0
571,1136,3.0
635,221,5.0
165,242,3.0
35,1025,5.0
299,287,4.0
92,150,1.0
230,470,5.0
650,291,2.0
571,1170,3.0
299,299,4.0
340,681,3.0
635,595,5.0
630,345,4.0
595,287,4.0
474,314,4.0
299,408,4.0
340,1279,2.0
60,332,3.0
340,329,5.0
571,475,4.0
230,596,3.0
60,270,1.0
54,78,5.0
241,1010,3.0
299,263,1.0
165,346,5.0
340,871,4.0
417,894,4.0
630,312,4.0
363,989,4.0
557,252,5.0
301,747,1.0
440,293,4.0
340,894,4.0
684,301,3.0
684,990,1.0
440,341,4.0
699,180,5.0
684,318,2.0
241,282,4.0
635,739,4.0
699,143,4.0
570,123,4.0
650,241,5.0
241,267,5.0
595,312,5.0
146,303,5.0
142,1037,3.0
139,872,2.0
299,832,4.0
570,173,4.0
146,749,5.0
650,267,2.0
686,335,2.0
684,333,1.0
739,318,3.0
739,747,3.0
511,55,5.0
440,120,4.0
571,288,3.0
308,257,5.0
571,276,1.0
699,95,4.0
630,300,4.0
739,288,4.0
650,285,4.0
87,879,3.0
139,244,3.0
761,301,5.0
731,872,5.0
87,897,4.0
761,115,1.0
557,19,5.0
301,293,1.0
635,257,5.0
571,120,2.0
686,748,4.0
570,963,4.0
595,12,2.0
739,241,4.0
165,312,5.0
146,300,5.0
686,339,4.0
363,285,5.0
363,301,4.0
142,293,3.0
54,49,4.0
92,120,3.0
474,901,5.0
739,321,3.0
142,314,4.0
33,989,5.0
635,8,3.0
139,303,4.0
650,326,4.0
684,324,3.0
684,326,2.0
142,325,5.0
686,263,3.0
686,318,4.0
474,69,4.0
308,988,3.0
808,677,2.0
557,1067,2.0
761,236,3.0
817,301,5.0
811,287,4.0
808,271,5.0
570,461,4.0
87,285,5.0
595,180,4.0
731,881,5.0
595,681,4.0
761,1661,1.0
684,872,2.0
301,357,3.0
731,689,5.0
440,6,4.0
761,474,5.0
739,287,4.0
699,78,3.0
817,315,4.0
739,937,1.0
731,285,5.0
308,689,3.0
570,603,3.0
241,739,5.0
699,179,3.0
230,49,4.0
146,897,5.0
417,332,5.0
54,120,3.0
817,911,3.0
731,937,1.0
823,677,3.0
557,14,3.0
731,323,2.0
417,749,2.0
570,193,3.0
60,268,3.0
301,288,3.0
474,126,4.0
511,272,5.0
201,194,4.0
299,1093,5.0
571,123,5.0
417,326,1.0
808,327,5.0
570,656,4.0
819,288,2.0
823,285,2.0
817,1104,1.0
630,306,4.0
875,293,4.0
686,287,4.0
557,285,4.0
865,318,4.0
630,337,2.0
417,327,1.0
