beta,train_mse_all,val_mse_all,test_mse_all,test_mae_all,test_mse_low,test_mae_low,test_mse_med,test_mae_med,test_mse_high,test_mae_high
1.0,0.175822568414147,1.2774036174497712,1.302304697213572,0.8907292205355479,1.5865417,0.9842763,1.1089185,0.80942726,1.3283124,0.90373003
0.9,0.124680066737545,1.34050846227684,1.315353307949025,0.8975380941372085,1.550411,0.9839363,1.290923,0.88395816,1.391792,0.9099053
0.8,0.1706691443324445,1.2379707843962913,1.2658902603325093,0.88308641526954,1.6603453159332275,1.0601317882537842,1.3182417154312134,0.9202319979667664,1.2739373445510864,0.8898242712020874
0.7,0.0574790427021771,1.3710922858926695,1.3545074409964597,0.9135575309055636,1.7085790634155271,1.0018980503082275,1.4769558906555176,0.9737550616264344,1.2755029201507568,0.890254557132721
0.6,0.0471111600566672,1.3707362579075282,1.3902221024491352,0.9235365094544652,1.9248253107070925,1.0500091314315796,1.5465539693832395,0.986331343650818,1.3068220615386963,0.8952755331993103
0.5,0.0391411469476158,1.3965277072440867,1.379774799097631,0.9236934214687176,1.7298266887664795,1.0155977010726929,1.5911643505096436,0.9897780418395996,1.3222962617874146,0.8986732363700867
0.4,0.0317773365813116,1.4193347120323123,1.4185271911997903,0.937312030993942,1.666964769363403,1.043033003807068,1.483786940574646,0.9361896514892578,1.4167578220367432,0.9300684332847596
0.3,0.0288647911710156,1.403646988569011,1.3980411276917553,0.9340140540801768,1.666190505027771,1.0470236539840698,1.5374674797058103,0.9754663109779358,1.312274694442749,0.9032952785491944
0.2,0.0303231408235306,1.3142377620584635,1.3170826597284235,0.9088071717242504,1.787634015083313,1.0893665552139282,1.4129438400268557,0.940906584262848,1.2182823419570925,0.8734992146492004
0.1,0.029023966412565227,1.281944048734538,1.2525643158458506,0.8864940625932821,1.716696858406067,1.0388009548187256,1.423151969909668,0.9456354975700378,1.2085835933685303,0.8626959323883057
